region,island,lon,lat,coral_cover
MHI,Hawaii,-154.97562501,19.66605773,0.416233092546463
MHI,Hawaii,-154.97796486,19.66734094,0.416233092546463
MHI,Hawaii,-156.01723223,19.64508279,0.23680372536182404
MHI,Hawaii,-155.88614496,20.11317256,0.6355101466178894
MHI,Hawaii,-154.97555888,19.66611387,0.416233092546463
MHI,Hawaii,-155.72809223,20.22039366,0.7969661951065063
MHI,Hawaii,-155.91018689,19.08982111,0.06958114355802536
MHI,Hawaii,-155.90704672,19.1995876,0.09610969573259354
MHI,Hawaii,-154.93924412,19.60083792,0.3797309398651123
MHI,Hawaii,-154.9735919,19.66449616,0.4928615391254425
MHI,Hawaii,-155.85206215,19.96953487,0.44059211015701294
MHI,Hawaii,-155.77352048,20.24842826,0.6929306983947754
MHI,Hawaii,-156.02424706,19.64649289,0.23680372536182404
MHI,Hawaii,-155.77070984,20.24969518,0.6929306983947754
MHI,Hawaii,-154.84808498,19.44928294,0.3104524612426758
MHI,Hawaii,-156.02702345,19.64692253,0.28944987058639526
MHI,Hawaii,-155.91896518,19.11834818,0.10493044555187225
MHI,Hawaii,-154.85012986,19.44802579,0.3104524612426758
MHI,Hawaii,-155.90107309,19.2346271,0.10480885207653046
MHI,Hawaii,-156.0281123,19.64745307,0.28944987058639526
MHI,Hawaii,-155.70038605,20.19096601,0.6552472114562988
MHI,Hawaii,-155.42959587000001,20.08877701,0.6381402015686035
MHI,Hawaii,-154.97774098,19.66759592,0.416233092546463
MHI,Hawaii,-155.91857103,19.12565306,0.1076364815235138
MHI,Hawaii,-154.85342816,19.44552767,0.3104524612426758
MHI,Hawaii,-155.95012144,19.49369609,0.231533020734787
MHI,Hawaii,-154.88000946,19.5570532,0.366646945476532
MHI,Hawaii,-155.85705577,19.02196095,0.08401346206665039
MHI,Hawaii,-155.91910865,19.12368822,0.10493044555187225
MHI,Hawaii,-155.91592769,19.16143353,0.08604203164577484
MHI,Hawaii,-155.92681279,19.46287479,0.07456689327955246
MHI,Hawaii,-155.90669461,19.19799555,0.09610969573259354
MHI,Hawaii,-154.97911583,19.34501593,NA
MHI,Hawaii,-155.91938688,19.1202079,0.10493044555187225
MHI,Hawaii,-155.91865362,19.11394111,0.10493044555187225
MHI,Hawaii,-154.85194169,19.44690031,0.3104524612426758
MHI,Hawaii,-155.44771471,20.09520656,0.7583048939704895
MHI,Hawaii,-155.68499945,18.93343724,NA
MHI,Hawaii,-154.97908106,19.69243695,0.4294675886631012
MHI,Hawaii,-155.25753321,20.00541986,0.6121748089790344
MHI,Hawaii,-155.98539833,19.612599,0.2758224308490753
MHI,Hawaii,-155.91749369,19.111941,0.10493044555187225
MHI,Hawaii,-154.92321928,19.39484152,0.3016987293958664
MHI,Hawaii,-155.89308135,20.13077643,0.6542101502418518
MHI,Hawaii,-155.8911395,19.06029881,NA
MHI,Hawaii,-156.01932142,19.64682893,0.23680372536182404
MHI,Hawaii,-154.98103918,19.69956756,0.43620821833610535
MHI,Hawaii,-155.76822106,20.24834674,0.6929306983947754
MHI,Hawaii,-156.05791423,19.72125642,0.26741549372673035
MHI,Hawaii,-154.94487754,19.60543312,0.2962222173810005
MHI,Hawaii,-155.25547625,20.0045483,0.6090694963932037
MHI,Hawaii,-156.05647636,19.71949965,NA
MHI,Hawaii,-155.87331319,19.94613124,0.4230566620826721
MHI,Hawaii,-154.94150982,19.6019489,0.3797309398651123
MHI,Hawaii,-154.87051318,19.5535259,NA
MHI,Hawaii,-155.87573851,20.09157202,0.5218831896781921
MHI,Hawaii,-154.97975181,19.66922451,0.416233092546463
MHI,Hawaii,-155.89250942,19.27770464,0.11668861657381058
MHI,Hawaii,-155.02354549,19.73979811,0.5433350205421448
MHI,Hawaii,-155.44496429,20.09502653,0.7545781135559082
MHI,Hawaii,-155.69580865,20.18817934,0.6552472114562988
MHI,Hawaii,-155.87559428,20.09062119,0.5218831896781921
MHI,Hawaii,-155.0301354,19.74410497,0.4533139765262604
MHI,Hawaii,-155.92990052,19.46009927,0.07456689327955246
MHI,Hawaii,-155.90082507,19.90972758,0.39151450991630554
MHI,Hawaii,-154.98648029,19.71029843,0.2500690817832947
MHI,Hawaii,-154.94602499,19.60759764,0.21271349489688873
MHI,Hawaii,-155.69405277,20.18761202,0.7771205306053162
MHI,Hawaii,-155.43448265,20.09088775,0.6381402015686035
MHI,Hawaii,-155.85270876,19.01952317,0.08401346206665039
MHI,Hawaii,-155.89866233,19.9177354,0.4768058657646179
MHI,Hawaii,-154.97640385,19.34598467,NA
MHI,Hawaii,-155.65468538,20.16908481,0.6506490707397461
MHI,Hawaii,-156.03064548,19.65058866,0.28944987058639526
MHI,Hawaii,-154.9778515,19.34536833,NA
MHI,Hawaii,-155.90084895,19.91378389,0.39151450991630554
MHI,Hawaii,-155.72654133,18.96604223,0.08146584779024124
MHI,Hawaii,-154.97975976,19.66932887,0.416233092546463
MHI,Hawaii,-155.9190303,19.11611437,0.10493044555187225
MHI,Hawaii,-155.89295129,19.27568986,0.11668861657381058
