region,island,lon,lat,year,month,day,date,date_r,coral_cover
NWHI,French_Frigate,-166.25686677,23.67157054,2010,9,9,2010-09-09T10:00:00Z,2010-09-09,0.5195442140102386
NWHI,French_Frigate,-166.20844334,23.70241947,2010,9,9,2010-09-09T10:00:00Z,2010-09-09,0.36097440123558044
NWHI,French_Frigate,-166.24295826,23.6708414,2012,8,6,2012-08-06T10:00:00Z,2012-08-06,0.4671463370323181
NWHI,French_Frigate,-166.3050114,23.87405478,2014,8,14,2014-08-14T10:00:00Z,2014-08-14,0.43600502610206604
NWHI,French_Frigate,-166.2887527,23.84049129,2012,8,5,2012-08-05T10:00:00Z,2012-08-05,0.4337344765663147
NWHI,French_Frigate,-166.2330675,23.67634404,2012,8,6,2012-08-06T10:00:00Z,2012-08-06,0.4317410886287689
NWHI,French_Frigate,-166.251131,23.883078,2015,7,31,2015-07-31T10:00:00Z,2015-07-31,0.17032001912593842
NWHI,French_Frigate,-166.24398186,23.65555826,2017,9,10,2017-09-10T10:00:00Z,2017-09-10,NA
NWHI,French_Frigate,-166.07758599,23.66173957,2017,9,10,2017-09-10T10:00:00Z,2017-09-10,0.049993183463811874
NWHI,French_Frigate,-166.292711,23.877309,2015,7,31,2015-07-31T10:00:00Z,2015-07-31,0.3243560492992401
NWHI,French_Frigate,-166.23907048,23.66236621,2010,9,9,2010-09-09T10:00:00Z,2010-09-09,0.449029341340065
NWHI,French_Frigate,-166.0617812,23.68991828,2014,8,15,2014-08-15T10:00:00Z,2014-08-15,0.01613929122686386
NWHI,French_Frigate,-166.294798,23.80839958,2014,8,16,2014-08-16T10:00:00Z,2014-08-16,0.4548056721687317
NWHI,French_Frigate,-166.1098899,23.6267287,2012,8,4,2012-08-04T10:00:00Z,2012-08-04,0.052701760083436966
NWHI,French_Frigate,-166.2618219,23.68082173,2012,8,4,2012-08-04T10:00:00Z,2012-08-04,0.5361350774765015
NWHI,French_Frigate,-166.251689,23.883236,2016,9,25,2016-09-25T10:00:00Z,2016-09-25,0.17032001912593842
NWHI,French_Frigate,-166.17526945,23.66587697,2017,9,26,2017-09-26T10:00:00Z,2017-09-26,0.26072201132774353
NWHI,French_Frigate,-166.24615302,23.67354373,2012,8,6,2012-08-06T10:00:00Z,2012-08-06,0.5029533505439758
NWHI,French_Frigate,-166.2214484,23.88059266,2014,8,14,2014-08-14T10:00:00Z,2014-08-14,0.18405812978744507
NWHI,French_Frigate,-166.32614002,23.83712,2017,9,9,2017-09-09T10:00:00Z,2017-09-09,0.5142658948898315
NWHI,French_Frigate,-166.20897719,23.87544818,2017,9,11,2017-09-11T10:00:00Z,2017-09-11,0.16408824920654297
NWHI,French_Frigate,-166.32426985,23.83657845,2010,9,8,2010-09-08T10:00:00Z,2010-09-08,0.48254135251045227
NWHI,French_Frigate,-166.20157,23.6672,2011,7,27,2011-07-27T10:00:00Z,2011-07-27,0.3269518315792084
NWHI,French_Frigate,-166.2422911,23.76260907,2014,8,16,2014-08-16T10:00:00Z,2014-08-16,0.4087032973766327
NWHI,French_Frigate,-166.05499743,23.70266413,2017,9,10,2017-09-10T10:00:00Z,2017-09-10,0.015698350965976715
NWHI,French_Frigate,-166.20424376,23.66939309,2017,9,26,2017-09-26T10:00:00Z,2017-09-26,0.3269518315792084
NWHI,French_Frigate,-166.1650685,23.85769824,2017,9,11,2017-09-11T10:00:00Z,2017-09-11,0.116047702729702
NWHI,French_Frigate,-166.06351471,23.67762663,2012,8,4,2012-08-04T10:00:00Z,2012-08-04,0.016493579372763634
NWHI,French_Frigate,-166.32672893,23.83845029,2012,8,5,2012-08-05T10:00:00Z,2012-08-05,0.5142658948898315
NWHI,French_Frigate,-166.21914092,23.67251242,2012,8,6,2012-08-06T10:00:00Z,2012-08-06,0.39632824063301086
NWHI,French_Frigate,-166.192008,23.696513,2016,9,2,2016-09-02T10:00:00Z,2016-09-02,NA
NWHI,French_Frigate,-166.24863046,23.7737503,2016,9,3,2016-09-03T10:00:00Z,2016-09-03,0.4215884208679199
NWHI,French_Frigate,-166.33258,23.83752,2011,7,28,2011-07-28T10:00:00Z,2011-07-28,0.5142658948898315
NWHI,French_Frigate,-166.320242,23.835458,2016,9,3,2016-09-03T10:00:00Z,2016-09-03,0.48254135251045227
NWHI,French_Frigate,-166.3493853,23.86164101,2012,8,5,2012-08-05T10:00:00Z,2012-08-05,0.5441364645957947
NWHI,French_Frigate,-166.265237,23.769163,2016,9,3,2016-09-03T10:00:00Z,2016-09-03,0.47673970460891724
NWHI,French_Frigate,-166.09477,23.821135,2016,9,24,2016-09-24T10:00:00Z,2016-09-24,0.022766515612602234
NWHI,French_Frigate,-166.33911998,23.85822999,2017,9,9,2017-09-09T10:00:00Z,2017-09-09,0.5095632076263428
NWHI,French_Frigate,-166.33484471,23.86920593,2017,9,27,2017-09-27T10:00:00Z,2017-09-27,0.4585212469100952
NWHI,French_Frigate,-166.22112181,23.68291629,2012,8,6,2012-08-06T10:00:00Z,2012-08-06,0.3972344994544983
NWHI,French_Frigate,-166.214717,23.688787,2016,9,2,2016-09-02T10:00:00Z,2016-09-02,0.36352992057800293
NWHI,French_Frigate,-166.295977,23.815785,2016,9,26,2016-09-26T10:00:00Z,2016-09-26,0.46270859241485596
NWHI,French_Frigate,-166.2378021,23.6848862,2012,8,6,2012-08-06T10:00:00Z,2012-08-06,0.5084225535392761
NWHI,French_Frigate,-166.20882,23.68307,2011,7,27,2011-07-27T10:00:00Z,2011-07-27,0.36286410689353943
NWHI,French_Frigate,-166.219534,23.713665,2016,9,2,2016-09-02T10:00:00Z,2016-09-02,0.39341166615486145
NWHI,French_Frigate,-166.1855347,23.6348107,2014,8,15,2014-08-15T10:00:00Z,2014-08-15,0.3003159165382385
NWHI,French_Frigate,-166.0689624,23.81090091,2014,8,15,2014-08-15T10:00:00Z,2014-08-15,NA
NWHI,French_Frigate,-166.091255,23.639013,2015,7,30,2015-07-30T10:00:00Z,2015-07-30,0.06422022730112076
NWHI,French_Frigate,-166.157656,23.855185,2016,9,25,2016-09-25T10:00:00Z,2016-09-25,0.10004747658967972
NWHI,French_Frigate,-166.22167435,23.68688134,2010,9,9,2010-09-09T10:00:00Z,2010-09-09,0.3972863554954529
